    DEPTH     CALD       TEND       CORR        DEN       NPHI        GRR        SPR       CALR       TENR       RILD       RILM       RFOC       TENS         DT
   84.5000    13.0426   -25.6292     0.0239     2.3506     0.2637    79.4051   -35.2410  -999.2500    44.2018     6.9881     6.7073     6.9261   -25.5597   118.6165
   85.0000    13.0598   -26.7965     0.0330     2.3492     0.2654    79.7139   -35.3916  -999.2500    44.4689     6.8918     6.6123     7.3218   -26.5321   119.7290
   85.5000    13.0770   -27.9638     0.0272     2.3471     0.2795    77.6094   -35.5422  -999.2500    44.6839     6.7968     6.5187     7.6866   -42.6419   119.6439
   86.0000    13.0943   -21.6349     0.0019     2.3464     0.3071    73.9984   -35.3916  -999.2500    44.8795     6.7968     6.4711     7.9658   -35.8796   119.2594
   86.5000    13.1265   -22.8022     0.0111     2.3488     0.3053    73.7021   -35.2410  -999.2500    45.1054     6.7968     6.6039     8.2975   -29.3544   118.3509
   87.0000    13.1587   -23.9695     0.0263     2.3542     0.2899    74.3143   -35.2410  -999.2500    45.3313     6.7968     6.6940     8.6507   -30.5403   117.0682
   87.5000    13.1760   -25.1124     0.0405     2.3618     0.2824    74.3214   -35.2410  -999.2500    45.5975     6.9881     6.7848     8.8948   -83.8058   116.1598
   88.0000    13.1633   -18.8078     0.0523     2.3679     0.2874    74.9321   -35.0904  -999.2500    45.8125     7.1849     6.8761     8.9577   -77.0435   115.9998
   88.5000    13.1811   -20.0150     0.0495     2.3657     0.2961    77.6557   -34.9398  -999.2500    46.0275     7.4904     6.9693     9.0212   -48.0968   116.2899
   89.0000    13.1983   -21.4342     0.0257     2.3613     0.2917    79.4728   -34.9398  -999.2500    46.2425     7.9181     7.0150     8.8980   -34.3049   116.5032
   89.5000    13.2006   -22.6015     0.0198     2.3629     0.2780    78.8766   -35.0904  -999.2500    38.9273     8.3156     7.0377     8.8373   -35.2837   116.3293
   90.0000    13.2179   -15.9808     0.0245     2.3670     0.2696    76.7555   -35.3916  -999.2500    39.1960     8.5463     7.0582     8.7774   -44.2205   115.6568
   90.5000    13.2395   -17.4399     0.0443     2.3722     0.2743    76.1760   -35.8434  -999.2500    31.8272     8.6058     7.0547     8.9631   -52.1674   114.9729
   91.0000    13.2673   -18.6072     0.0625     2.3775     0.2698    76.1849   -36.0090  -999.2500    32.0959     8.6058     7.0512     9.0891   -45.6035   114.8878
   91.5000    13.2995   -19.7745     0.0611     2.3821     0.2607    76.4937   -36.1446  -999.2500    32.3108     8.6058     7.0484     9.0901   -39.0783   115.1769
   92.0000    13.3018   -20.9418     0.0301     2.3837     0.2613    76.5008   -35.9940  -999.2500    32.5301     8.6151     7.0457     9.1544   -40.2642   115.5409
   92.5000    13.3340   -22.1139     0.0015     2.3808     0.2633    76.2063   -35.8434  -999.2500    32.7945     8.6657     7.0429     9.1556   -56.1605   116.0546
   93.0000    13.3513   -23.2764    -0.0013     2.3817     0.2723    75.9117   -35.3916  -999.2500    25.4257     8.7261     6.9914     8.9682   -57.1092   116.7954
   93.5000    13.3686   -16.9474     0.0064     2.3826     0.2777    75.6190   -34.9398  -999.2500    18.1105     8.7261     6.9398     9.0315   -50.5840   116.9323
