   DEPTH     ILD     GR      RHOB     DT
 1522.7000 12.2280 112.8920  2.2800 111.9770
 1522.7500 12.2740 110.3980  2.2840 110.9440
 1522.8000 12.2740 110.3980  2.2890 110.9440
 1522.8500 12.4360 110.3980  2.2940 110.9440
 1522.9000 12.2280 114.7530  2.2980 110.9760
 1522.9500 12.2050 114.7530  2.3010 110.9760
 1523.0000 12.2050 114.7530  2.3030 110.9760
 1523.0500 12.2050 110.1470  2.3040 110.3130
 1523.1000 12.2280 110.1470  2.3020 110.3130
 1523.1500 12.2510 110.1470  2.3000 110.3130
 1523.2000 12.2510 111.6330  2.2980 110.1670
 1523.2500 12.2510 111.6330  2.2960 110.1670
 1523.3000 12.2280 111.6330  2.2950 110.1670
 1523.3500 12.2280 110.1670  2.2940 109.7700
 1523.4000 12.2280 110.1670  2.2930 109.7700
 1523.4500 12.2280 110.1670  2.2920 109.7700
 1523.5000 12.2510 116.1790  2.2920 109.8540
 1523.5500 12.2740 116.1790  2.2930 109.8540
 1523.6000 12.2740 116.1790  2.2950 109.8540
 1523.6500 12.3550 113.2100  2.2980 108.6070
 1523.7000 12.2740 113.2100  2.3020 108.6070
 1523.7500 12.2740 113.2100  2.3040 108.6070
 1523.8000 12.4820 107.9060  2.3020 108.9580
 1523.8500 12.2740 107.9060  2.2970 108.9580
 1523.9000 12.2740 107.9060  2.2910 108.9580
 1523.9500 12.3320 103.3590  2.2860 108.6340
 1524.0000 12.3890 103.3590  2.2830 108.6340
 1524.0500 12.2970 103.3590  2.2820 108.6340
 1524.1000 12.7580 105.7720  2.2790 108.6600
 1524.1500 12.2630 105.7720  2.2730 108.6600
 1524.2000 12.2400 105.7720  2.2660 108.6600
 1524.2500 12.2510 113.7970  2.2630 109.9790
 1524.3000 12.4360 113.7970  2.2640 109.9790
 1524.3500 12.4360 113.7970  2.2670 109.9790
 1524.4000 12.2740 113.3790  2.2710 110.5440
 1524.4500 12.2510 113.3790  2.2730 110.5440
 1524.5000 12.3430 113.3790  2.2750 110.5440
 1524.5500 12.2510 108.3640  2.2790 109.3980
 1524.6000 12.2630 108.3640  2.2880 109.3980
 1524.6500 12.2970 108.3640  2.3000 109.3980
 1524.7000 12.4120 99.3610  2.3150 110.9130
 1524.7500 12.4820 99.3610  2.3330 110.9130
 1524.8000 12.3200 99.3610  2.3530 110.9130
 1524.8500 12.3200 97.0830  2.3750 111.4730
 1524.9000 12.5280 97.0830  2.3960 111.4730
 1524.9500 12.2280 97.0830  2.4160 111.4730
 1525.0000 12.2740 98.2200  2.4320 112.7990
 1525.0500 12.5510 98.2200  2.4420 112.7990
 1525.1000 12.3090 98.2200  2.4450 112.7990
 1525.1500 12.2280 99.0110  2.4380 111.2020
 1525.2000 12.2170 99.0110  2.4230 111.2020
 1525.2500 12.1820 99.0110  2.4020 111.2020
 1525.3000 12.2050 101.4990  2.3780 110.9410
 1525.3500 12.2280 101.4990  2.3520 110.9410
 1525.4000 12.2510 101.4990  2.3250 110.9410
 1525.4500 12.2510 106.1190  2.2980 113.4510
 1525.5000 12.2510 106.1190  2.2730 113.4510
 1525.5500 12.2280 106.1190  2.2570 113.4510
 1525.6000 12.2510 106.1190  2.2570 113.4510
 1525.6500 12.2630 108.0500  2.2460 114.3720
 1525.7000 12.2510 108.0500  2.2420 114.3720
 1525.7500 12.2280 108.0500  2.2420 114.3720
 1525.8000 12.2280 107.2340  2.2440 115.3020
 1525.8500 12.2280 107.2340  2.2450 115.3020
 1525.9000 12.3550 107.2340  2.2430 115.3020
 1525.9500 12.7690 101.7760  2.2420 115.3660
 1526.0000 12.7580 101.7760  2.2430 115.3660
 1526.0500 12.2970 101.7760  2.2430 115.3660
 1526.1000 12.5740 101.1450  2.2460 114.9880
 1526.1500 12.6540 101.1450  2.2490 114.9880
 1526.2000 12.2740 101.1450  2.2500 114.9880
 1526.2500 12.2510 101.9610  2.2490 115.0820
 1526.3000 12.2280 101.9610  2.2490 115.0820
 1526.3500 12.2050 101.9610  2.2540 115.0820
 1526.4000 12.2050 109.7080  2.2620 114.6520
 1526.4500 12.2510 109.7080  2.2680 114.6520
 1526.5000 12.2510 109.7080  2.2690 114.6520
 1526.5500 12.2280 110.5680  2.2670 113.7820
 1526.6000 12.2280 110.5680  2.2630 113.7820
 1526.6500 12.2860 110.5680  2.2610 113.7820
 1526.7000 12.1820 112.5230  2.2610 113.9930
 1526.7500 12.1820 112.5230  2.2590 113.9930
 1526.8000 12.2510 112.5230  2.2580 113.9930
 1526.8500 12.3430 106.0330  2.2560 114.2190
 1526.9000 12.3200 106.0330  2.2540 114.2190
 1526.9500 12.3320 106.0330  2.2530 114.2190
 1527.0000 12.5740 109.4440  2.2530 114.3380
 1527.0500 12.3660 109.4440  2.2520 114.3380
 1527.1000 12.4120 109.4440  2.2500 114.3380
 1527.1500 12.3320 111.4670  2.2490 114.1740
 1527.2000 12.3320 111.4670  2.2480 114.1740
 1527.2500 12.2510 111.4670  2.2490 114.1740
 1527.3000 12.2280 115.4830  2.2490 113.9310
 1527.3500 12.2280 115.4830  2.2490 113.9310
 1527.4000 12.2510 115.4830  2.2500 113.9310
 1527.4500 12.2400 110.7950  2.2520 113.7220
 1527.5000 12.2510 110.7950  2.2560 113.7220
 1527.5500 12.2740 110.7950  2.2610 113.7220
 1527.6000 12.5050 108.4160  2.2660 113.5110
 1527.6500 12.2510 108.4160  2.2690 113.5110
 1527.7000 12.2510 108.4160  2.2710 113.5110
 1527.7500 12.2280 107.1210  2.2720 114.2320
 1527.8000 12.2280 107.1210  2.2730 114.2320
 1527.8500 12.2510 107.1210  2.2750 114.2320
 1527.9000 12.3200 110.1380  2.2740 114.5240
 1527.9500 12.3090 110.1380  2.2690 114.5240
 1528.0000 12.2970 110.1380  2.2610 114.5240
 1528.0500 12.3660 109.5860  2.2520 114.4520
 1528.1000 12.2860 109.5860  2.2500 114.4520
 1528.1500 12.2740 109.5860  2.2490 114.4520
 1528.2000 12.2740 110.8810  2.2520 114.7110
 1528.2500 12.2510 110.8810  2.2560 114.7110
 1528.3000 12.4360 110.8810  2.2570 114.7110
 1528.3500 12.2970 110.1670  2.2570 114.8690
 1528.4000 12.3200 110.1670  2.2570 114.8690
 1528.4500 12.2740 110.1670  2.2620 114.8690
 1528.5000 12.2860 107.1140  2.2680 113.8840
 1528.5500 12.2970 107.1140  2.2690 113.8840
 1528.6000 12.2280 107.1140  2.2680 113.8840
 1528.6500 12.2280 104.1450  2.2610 113.4910
 1528.7000 12.2510 104.1450  2.2580 113.4910
 1528.7500 12.2280 104.1450  2.2580 113.4910
 1528.8000 12.2510 104.1450  2.2580 113.4910
 1528.8500 12.2280 105.4690  2.2570 114.2180
 1528.9000 12.2510 105.4690  2.2550 114.2180
 1528.9500 12.2510 105.4690  2.2510 114.2180
 1529.0000 12.2510 105.6560  2.2450 115.3040
 1529.0500 12.7120 105.6560  2.2390 115.3040
 1529.1000 12.3890 105.6560  2.2350 115.3040
 1529.1500 12.2280 110.1160  2.2340 116.5300
 1529.2000 12.2280 110.1160  2.2320 116.5300
 1529.2500 12.4120 110.1160  2.2310 116.5300
 1529.3000 13.0340 107.5790  2.2320 115.6130
 1529.3500 13.2420 107.5790  2.2330 115.6130
 1529.4000 12.8620 107.5790  2.2340 115.6130
 1529.4500 12.3090 110.5190  2.2360 114.7700
 1529.5000 12.2970 110.5190  2.2390 114.7700
 1529.5500 12.3200 110.5190  2.2420 114.7700
 1529.6000 12.4470 107.1040  2.2450 113.6820
 1529.6500 12.7000 107.1040  2.2440 113.6820
 1529.7000 12.2740 107.1040  2.2410 113.6820
 1529.7500 12.2970 108.1800  2.2370 114.8330
 1529.8000 12.2970 108.1800  2.2360 114.8330
 1529.8500 12.3320 108.1800  2.2360 114.8330
 1529.9000 12.2970 112.2940  2.2350 114.2210
 1529.9500 12.2970 112.2940  2.2340 114.2210
 1530.0000 12.2970 112.2940  2.2340 114.2210
 1530.0500 12.3200 112.9190  2.2340 116.0610
 1530.1000 12.2970 112.9190  2.2340 116.0610
 1530.1500 12.3430 112.9190  2.2340 116.0610
 1530.2000 12.2860 112.0080  2.2340 117.1990
 1530.2500 12.2970 112.0080  2.2330 117.1990
 1530.3000 12.6660 112.0080  2.2330 117.1990
 1530.3500 12.3660 106.1450  2.2340 118.8560
 1530.4000 12.3780 106.1450  2.2340 118.8560
 1530.4500 12.3320 106.1450  2.2330 118.8560
 1530.5000 12.2970 108.5020  2.2300 118.3830
 1530.5500 12.2970 108.5020  2.2260 118.3830
 1530.6000 12.3200 108.5020  2.2230 118.3830
